[owen@kaser dubuc]$ ./papibenchmark 
 Benchmarking tool for the Ola algorithm 
 Build: Jul  5 2004 11:00:47
 Benchmarks can take a long time to compute 
 Values are always given as pairs init time + total operation time 
Starting benchmarking from hellifax 
testing dependence of Ola time on range length (multi-level)
 size = 1073741825 b=128,beta=4
 external array is : 4 GB
 bin arrays are : 0.5 KB
N (aka M and M' in paper) is 2
 query time (sums) / buffer construction 
 == Fast Range Sums === virtual array of size 1073741825 N = 2 b = 128
 b = 128 N = 2
 data.size() = 1073741825
 It took 2723.6 s to build a buffer of size 8388609
 rangelen  time 
---------------------
464340205 320727
217734871 321649
370292358 321752
163472542 319807
1044272195 335477
52973080 293993
219135163 322945
120830983 315302
421515208 329649
452237469 327799
530450941 330322
154774460 321290
287067582 322922
635896963 330095
167392065 321696
65745707 314805
9318984 292474
98979384 315402
136275754 321390
64365264 316724
118834963 314167
122195916 315892
330190272 322478
373429249 321912
284400820 321354
543691623 329737
460545359 328275
200536557 314957
195292985 322066
324405631 322178
112070211 321647
79324506 321278
663092737 329913
276860115 321967
44838281 316924
906174617 337656
458563724 329080
572098454 329381
197655607 319544
623332027 328030
277477426 320177
914436918 337146
309276759 323747
661847923 334902
122533160 316605
248701277 316002
171171653 316871
736387228 331133
189031648 321144
217547752 321458
793010927 336949
19479877 295141
4609252 302049
206073751 322176
751287782 330268
115519647 317044
164695642 323704
380695658 322948
439075806 335660
485785651 324776
118686517 321294
81939276 316686
169878127 322368
439435949 329646
757832023 334932
163346889 323612
366777580 322700
704115717 330876
377256236 324368
159903468 294688
331363812 321988
329054929 321716
843301094 336264
766437595 341534
20442483 314260
525177721 330146
160773478 321808
45758897 315528
722040151 328462
311498084 323296
68436722 314690
612966 266866
4284183 290196
413232640 322452
944713001 339136
7508873 304380
208945348 322012
704738668 335220
269905328 323012
842990818 336068
240180347 323084
347706879 322744
172198116 293544
251244736 322256
195081203 322736
858446396 335176
710894016 336828
424985338 344820
920637078 337270
22976794 315728
241576472 322074
226410911 316426
782681435 336184
183833924 315270
657112997 330732
263313262 321928
247509630 321628
97041613 315308
477859393 338484
818926753 337568
162712654 321996
917608116 337120
387722930 328388
189617737 322164
280604327 324660
508838225 342280
243080198 321084
411493966 326096
760755070 336704
608945910 328744
799164699 336584
280090557 321424
430026266 327164
